text,gender
robbie e responds to critics after win against eddie edwards in the worldtitleseries https://t.co/nsybbmvjkz,0
it felt like they were my friends and i was living the story with them۝ https://t.co/arnge0yhno retired ian1 https://t.co/cizcanpqfz,0
i absolutely adore when louis starts the songs it hits me hard but it feels good,0
hi jordanspieth - looking at the url - do you use ifttt?!  don't typically see an advanced user on the pgatour! https://t.co/h68ou5pe9l,0
watching neighbours on sky catching up with the neighbs!! xxx _____ُ_ԍ_ُ xxx,1
"ive seen people on the train with lamps, chairs, tvs etc  https://t.co/w6zf4pvm4i",1
"gala bingo clubs bought for 241m: the uk's largest high street bingo operator, gala, is being taken over by_ https://t.co/hzeeykjud3",0
_aphmau_ the pic defines all mcd fangirls/fanboys and mcd shippers xd,1
evielady just how lovely is the tree this year! never seen it as gorgeous as this autumn colour,1
just put my ass on the line for you and this is how you repay me.,1
will i even need sound effects for the diviners tonight,1
https://t.co/erogwtftyo it's a glow of satisfaction re the glow https://t.co/7rdymcvpkx,1
giannaaa28 lmao __ dude i'm hella scared for next episode bc the ending to yesterday's,1
coolyazzy94 ditto - i'm still learning the favourites and retweet stuff - least it sucks less than facebook haha :p,0
caribbros jstsaleem i do but i don't understand how to get to the server to get it,0
craftyear2015 isabelpascual thank you for the retweets,1
all the girls went to sleep and the guys just sat in the floor and watched us__,1
chrisaofficial i'm on the right side__ُ_xxx,1
"yall lmfaoo right when the chorus came on, a tear rolled down his face https://t.co/ayuqdptvse",0
james bond premier night at the everymancinema in oxted with sidiedey. let's hope it lives up to expectation! spectre,0
sydniejr except once the hallmark movies start i won't get anything done!! ______,1
you leave the group chat for more than 2 mins and you miss made shit,1
as opposed to pump where it's like hi hope you like doing jumps where you spread your feet across the entire stage,0
all the magic in hath no fury is based on real magick! https://t.co/jwpsvhau1e,0
"me the week of brandon's birthday: there's no such thing as a birthday week u weirdo
me november 1st: it's my birthday month, bow down to me",1
and got more yards and points than the jets gave up all season. https://t.co/gdfkaoxcdd,0
did alot up in the past ion wont back,0
this boy was on the el wit his 3 daughters and they all was under 5,1
theriddler109 cnn i mean it's not like mainstream new media is supposed to feed you the fact nowadays...,0
how many followers do you get everyday? i got 1 in the last day. growing daily with https://t.co/jzckr3ub8h,0
"onedirection artist of the year amas

ho fame",0
kbonimtetezi mheshimiwa travellers along that stretch of the road lubao r hurting and nobody seems to be raising this issue!,0
greenville thursday. yall holla you need anything. know i'm the plug,0
markhicks1204 i went to the wrong nandos but i found you eventually 10chilliesequalsfreenandos,1
andyrobsontips cardiff or drew with the over 1.5 match goals sounds good to me,0
"those who break the rules are scum, but those who abandon their friends are worse than scum",1
"gala bingo clubs bought for 241m: the uk's largest high street bingo operator, gala, is being taken over by_ https://t.co/xprinke1m2",0
"video: james bond spectre world premiere: after months of build up spectre, the latest_ https://t.co/uv38wlg5be uk",1
best thing about having an audition on the west side is being able to eat lunch at komodo,0
discipline is the bridge between goals and accomplishment. - jim rohn,0
"in the last 20 minutes that wednesday fan has tweeted about us 3 times, no, not obsessed, not even a little bit _______________",0
"once it is complete, it will lift off and attempt to connect with the alpha point of the rift we are observing. 1-2",1
triggered email: the killer conversion app https://t.co/obckhxkom7,0
camerons side of the bed smells so bad,1
